vendor_id,vendor_name,vendor_type,registration_number,tax_id,contact_person,phone,email,address,region,bank_name,bank_account,due_diligence_status,due_diligence_date,is_blacklisted,blacklist_reason,preferred_vendor,performance_rating,is_active
VND-0028,Tanzania Events Management,Supplier,9123708-2018,238-411-106,James Lyimo,+255 707 406 595,info@tanzaniaeven.co.tz,Plot 98 Industrial Area Kilimanjaro,Kilimanjaro,Equity Bank Tanzania,0935963539980,Passed,2023-07-20,False,,False,4.0,True
VND-0029,Babati Transport Services,Supplier,9044689-2018,387-936-904,John Lyimo,+255 777 305 590,info@babatitransp.co.tz,Plot 52 Market Street Manyara,Manyara,Stanbic Bank Tanzania,0127862538572,Passed,2025-05-20,False,,False,3.0,True
VND-0030,Arusha Catering Services,Supplier,7932908-2021,712-590-696,Peter Swai,+255 704 789 611,info@arushacateri.co.tz,Plot 140 Main Road Arusha,Arusha,NBC Bank,0818951755649,Passed,2022-05-22,False,,False,4.8,True
VND-0031,Northern Transport International,Supplier,9499671-2018,500-574-890,Amina Lyimo,+255 792 439 915,,Plot 39 Industrial Area Manyara,Manyara,Equity Bank Tanzania,0207409783525,Failed,2024-03-29,True,Failed due diligence check,False,,False
VND-0032,Northern Agricultural Services,Contractor,,451-763-211,Mary Kimaro,+255 733 594 456,info@northernagri.co.tz,Plot 133 Market Street Arusha,Arusha,NBC Bank,0673547080573,Passed,2023-02-28,False,,False,3.5,True
VND-0033,Eastern Construction Associates,Contractor,2025691-2016,649-291-474,Grace Mwangi,+255 715 706 539,info@easternconst.co.tz,Plot 68 CBD Manyara,Manyara,Absa Bank Tanzania,0420725969497,Passed,2023-02-09,False,,False,4.0,True
VND-0034,Community Training Enterprises,Consultant,7116810-2017,528-710-241,Grace Kimaro,+255 757 704 186,info@communitytra.co.tz,Plot 125 Market Street Manyara,Manyara,Equity Bank Tanzania,0395247111291,Passed,2023-09-02,False,,False,3.6,True
VND-0035,Tanzania Training Ltd,Contractor,3740184-2015,325-399-133,Peter Mollel,+255 729 768 606,info@tanzaniatrai.co.tz,Plot 44 CBD Kilimanjaro,Kilimanjaro,Equity Bank Tanzania,0662635618215,Passed,2025-02-24,False,,False,3.2,True
VND-0036,Community General Ltd,Consultant,5305456-2016,220-894-931,David Lyimo,+255 626 853 949,info@communitygen.co.tz,Plot 177 Industrial Area Manyara,Manyara,Stanbic Bank Tanzania,0747548965269,Passed,2024-05-20,False,,False,4.5,True
VND-0037,African Medical International,Consultant,2560238-2021,383-987-771,David Kimaro,+255 780 399 396,info@africanmedic.co.tz,Plot 64 Market Street Manyara,Manyara,NMB Bank,0879984532792,Passed,2023-10-25,False,,False,2.9,True
VND-0038,Regional ICT Associates,Contractor,6362695-2015,967-850-195,Grace Mollel,+255 703 627 867,info@regionalicta.co.tz,Plot 17 CBD Manyara,Manyara,Equity Bank Tanzania,0944322142606,Passed,2022-07-10,False,,False,4.6,True
VND-0039,Community General Services,Consultant,8230567-2015,538-307-805,Amina Mollel,+255 611 201 741,info@communitygen.co.tz,Plot 41 Industrial Area Arusha,Arusha,NBC Bank,0356186424480,Pending,2022-04-10,False,,False,,True
VND-0040,Eastern Medical Associates,Consultant,,812-451-936,David Swai,+255 709 771 193,,Plot 178 Market Street Manyara,Manyara,NMB Bank,0492193670848,Passed,2023-04-25,False,,False,2.8,True
VND-0041,Community Consulting Services,Contractor,3480521-2022,188-202-243,Peter Swai,,info@communitycon.co.tz,Plot 90 CBD Manyara,Manyara,NMB Bank,0353390421760,Failed,2022-10-20,True,Failed due diligence check,True,,False
VND-0042,Regional Medical Group,Supplier,1197469-2020,981-959-682,Peter Kimaro,+255 661 606 495,info@regionalmedi.co.tz,Plot 196 CBD Manyara,Manyara,CRDB Bank,0117715895169,Passed,2022-04-22,False,,True,3.0,True
VND-0043,Tanzania ICT Group,Consultant,4329927-2017,500-700-749,Amina Mwangi,+255 763 649 650,info@tanzaniaictg.co.tz,Plot 80 CBD Arusha,Arusha,NMB Bank,0159356355188,Passed,2022-06-18,False,,False,2.8,True
VND-0044,Tanzania Consulting Services,Supplier,3079867-2019,220-889-130,Grace Mollel,+255 641 608 455,info@tanzaniacons.co.tz,Plot 135 Main Road Manyara,Manyara,Stanbic Bank Tanzania,0742180813608,Passed,2022-01-24,False,,False,3.4,True
VND-0045,Savanna Trade Services,Contractor,5006147-2022,,David Swai,+255 772 840 218,info@savannatrade.co.tz,Plot 58 Industrial Area Arusha,Arusha,Absa Bank Tanzania,0427384434945,Passed,2025-03-21,False,,True,3.4,True
VND-0046,Tanzania Construction Supplies,Consultant,5777677-2019,348-575-477,Grace Kimaro,+255 672 892 965,info@tanzaniacons.co.tz,Plot 188 Market Street Arusha,Arusha,Equity Bank Tanzania,0124344315654,Passed,2024-08-10,False,,False,4.6,True
VND-0047,Tanzania Training Ltd,Consultant,5584195-2015,965-632-522,James Swai,+255 652 642 343,info@tanzaniatrai.co.tz,Plot 192 Main Road Manyara,Manyara,Stanbic Bank Tanzania,0236768169939,Passed,2022-08-01,False,,False,4.0,True
VND-0048,Tanzania ICT Services,Supplier,3230898-2016,268-560-577,John Lyimo,+255 779 951 853,info@tanzaniaicts.co.tz,Plot 92 Market Street Arusha,Arusha,Equity Bank Tanzania,0371993892222,Passed,2024-03-15,False,,True,4.5,True
VND-0049,Regional Trade Ltd,Supplier,7625975-2022,663-355-196,David Kimaro,,info@regionaltrad.co.tz,Plot 32 Main Road Kilimanjaro,Kilimanjaro,NMB Bank,0233307757943,Passed,2023-05-24,False,,False,4.2,True
VND-0050,Northern Trade Group,Supplier,3752687-2021,504-608-130,Grace Kimaro,+255 632 194 967,info@northerntrad.co.tz,Plot 91 Market Street Kilimanjaro,Kilimanjaro,NBC Bank,0386567676252,Passed,2024-06-27,False,,True,4.0,True
VND-0051,African Consulting Enterprises,Contractor,9907913-2015,900-830-467,David Swai,+255 635 529 304,info@africanconsu.co.tz,Plot 89 Industrial Area Kilimanjaro,Kilimanjaro,NMB Bank,0126434367711,Passed,2024-02-24,False,,False,4.7,True
VND-0052,Regional Medical Enterprises,Consultant,4594689-2021,959-965-277,Peter Mollel,+255 625 353 772,info@regionalmedi.co.tz,Plot 189 Industrial Area Manyara,Manyara,CRDB Bank,0820834591460,Failed,2022-11-23,True,Failed due diligence check,False,,False
VND-0053,EASTERN TRADE SUPPLIES,Contractor,4300925-2017,281-921-964,John Mwangi,+255 614 338 716,info@easterntrade.co.tz,Plot 38 Market Street Kilimanjaro,Kilimanjaro,Stanbic Bank Tanzania,0981482614174,Passed,2022-07-04,False,,False,4.9,True
VND-0054,Highland Trade Co,Contractor,6846328-2017,851-805-401,Amina Mwangi,+255 787 547 910,info@highlandtrad.co.tz,Plot 180 CBD Arusha,Arusha,Stanbic Bank Tanzania,0133290926716,Passed,2022-11-19,False,,False,4.5,True
VND-0055,African Trade Co,Contractor,6500557-2015,355-809-169,David Mwangi,+255 688 427 271,info@africantrade.co.tz,Plot 185 Main Road Arusha,Arusha,Equity Bank Tanzania,0850540038270,Passed,2023-05-03,False,,False,3.7,True
VND-0056,HIGHLAND TRAINING ASSOCIATES,Supplier,5278207-2016,484-264-849,John Mollel,+255 641 562 175,info@highlandtrai.co.tz,Plot 153 CBD Manyara,Manyara,Equity Bank Tanzania,0769273012721,Passed,2023-04-07,False,,False,2.9,True
VND-0057,Northern Training Supplies,Supplier,9043257-2015,537-189-401,Amina Lyimo,+255 667 776 388,info@northerntrai.co.tz,Plot 123 Market Street Manyara,Manyara,NMB Bank,0274769191398,Passed,2025-01-11,False,,False,3.7,True
VND-0058,Northern Consulting Associates,Contractor,8619369-2018,677-163-254,Amina Mwangi,+255 699 289 479,info@northerncons.co.tz,Plot 22 Industrial Area Manyara,Manyara,Equity Bank Tanzania,0874718372332,Passed,2025-01-19,False,,False,4.6,True
VND-0059,Highland General Enterprises,Consultant,3415223-2022,271-316-927,John Swai,+255 782 135 614,info@highlandgene.co.tz,Plot 21 CBD Arusha,Arusha,Absa Bank Tanzania,0251974625709,Passed,2024-03-19,False,,False,4.8,True
VND-0060,Northern Agricultural Associates,Consultant,2843524-2017,702-696-876,John Mwangi,,info@northernagri.co.tz,Plot 145 Main Road Manyara,Manyara,Stanbic Bank Tanzania,0452530849370,Passed,2023-07-20,False,,False,3.7,True
VND-0061,Savanna Medical Services,Contractor,7102120-2020,410-418-387,David Mwangi,+255 609 505 439,info@savannamedic.co.tz,Plot 59 Market Street Kilimanjaro,Kilimanjaro,Absa Bank Tanzania,0553911630945,Passed,2024-04-02,False,,False,4.3,True
VND-0062,Northern Transport Enterprises,Supplier,3222899-2023,129-277-297,Mary Mwangi,+255 695 940 157,info@northerntran.co.tz,Plot 64 Main Road Manyara,Manyara,NBC Bank,0821308781380,Passed,2024-11-23,False,,False,3.7,True
VND-0063,Highland Agricultural Ltd,Supplier,2480391-2015,266-974-685,Mary Kimaro,+255 721 700 664,info@highlandagri.co.tz,Plot 166 Market Street Arusha,Arusha,NBC Bank,0767529399625,Passed,2022-12-30,False,,True,4.5,True
VND-0064,Tanzania Office Services,Consultant,7168972-2020,323-577-409,David Lyimo,+255 664 722 924,info@tanzaniaoffi.co.tz,,Manyara,Absa Bank Tanzania,0963980152483,Passed,2023-04-04,False,,False,4.0,True
VND-0065,Regional Consulting Co,Contractor,4937158-2021,,Grace Mollel,+255 670 367 771,info@regionalcons.co.tz,Plot 67 CBD Arusha,Arusha,Absa Bank Tanzania,0136711344825,Failed,2023-10-28,True,Failed due diligence check,False,,False
VND-0066,African Training Supplies,Consultant,5237842-2023,287-796-443,Mary Mollel,+255 643 960 773,info@africantrain.co.tz,Plot 58 Industrial Area Manyara,Manyara,NBC Bank,0480373216699,Passed,2023-09-07,False,,False,4.6,True
VND-0067,Savanna Medical Co,Contractor,7704683-2022,983-832-284,Grace Mollel,+255 735 405 523,info@savannamedic.co.tz,Plot 162 Market Street Manyara,Manyara,CRDB Bank,0104574012380,Passed,2024-02-21,False,,False,4.4,True
VND-0068,eastern office co,Supplier,6279875-2023,792-104-741,Mary Mollel,,info@easternoffic.co.tz,Plot 80 Market Street Manyara,Manyara,Stanbic Bank Tanzania,0702420984271,Passed,2024-05-28,False,,True,2.6,True
VND-0069,regional office international,Contractor,4675844-2017,122-703-616,James Mwangi,+255 691 868 292,info@regionaloffi.co.tz,Plot 97 Industrial Area Arusha,Arusha,Stanbic Bank Tanzania,0149722774149,Failed,2024-09-30,True,Failed due diligence check,False,,False
VND-0070,TANZANIA MEDICAL CO,Contractor,7895777-2016,376-737-720,Grace Mwangi,+255 721 818 256,info@tanzaniamedi.co.tz,Plot 131 Main Road Arusha,Arusha,CRDB Bank,0609308296723,Passed,2023-06-02,False,,True,3.2,True
VND-0071,African Training Associates,Contractor,9095252-2016,176-840-840,James Kimaro,+255 776 592 438,,Plot 117 Industrial Area Kilimanjaro,Kilimanjaro,CRDB Bank,0202952679278,Passed,2023-03-02,False,,False,4.6,True
VND-0072,Community Training Associates,Consultant,5395999-2016,450-287-216,Grace Mollel,+255 602 972 241,info@communitytra.co.tz,Plot 99 CBD Kilimanjaro,Kilimanjaro,Absa Bank Tanzania,0916274880215,Passed,2022-04-04,False,,True,4.3,True
VND-0073,Eastern Agricultural Associates,Consultant,3140594-2022,521-551-147,Amina Mollel,+255 756 488 897,,Plot 4 Market Street Manyara,Manyara,Absa Bank Tanzania,0994454733631,Passed,2023-01-07,False,,False,4.3,True
VND-0074,Northern ICT Supplies,Contractor,3571617-2022,990-269-176,James Kimaro,+255 638 959 946,info@northernicts.co.tz,Plot 85 Industrial Area Manyara,Manyara,NMB Bank,0663774567487,Passed,2024-02-28,False,,False,3.1,True
VND-0075,savanna office enterprises,Supplier,2489910-2019,675-311-770,James Mollel,+255 790 769 118,info@savannaoffic.co.tz,Plot 14 Market Street Arusha,Arusha,NBC Bank,0673904694734,Passed,2024-10-15,False,,False,4.3,True
VND-0076,Community Office Co,Supplier,7704209-2019,292-223-972,Grace Kimaro,+255 740 634 482,info@communityoff.co.tz,Plot 184 Industrial Area Kilimanjaro,Kilimanjaro,Equity Bank Tanzania,0147764000957,Passed,2023-08-21,False,,False,2.8,True
VND-0077,Savanna Office Services,Contractor,3845848-2017,773-714-720,Peter Swai,+255 710 958 699,info@savannaoffic.co.tz,Plot 108 Market Street Manyara,Manyara,NBC Bank,0401574843924,Passed,2025-02-07,False,,True,3.5,True
VND-0078,Regional General International,Consultant,9888810-2020,879-460-675,Peter Swai,+255 775 453 788,info@regionalgene.co.tz,Plot 173 Industrial Area Kilimanjaro,Kilimanjaro,Equity Bank Tanzania,0927113390635,Passed,2023-08-19,False,,True,3.5,True
VND-0079,Tanzania Medical Supplies,Contractor,2679730-2023,860-762-674,Peter Mollel,+255 615 807 903,info@tanzaniamedi.co.tz,Plot 178 Main Road Arusha,Arusha,Equity Bank Tanzania,0526926394801,Passed,2022-10-27,False,,False,3.9,True
VND-0080,Tanzania Consulting Supplies,Consultant,8353281-2016,277-852-626,John Swai,+255 793 702 659,info@tanzaniacons.co.tz,Plot 72 Industrial Area Kilimanjaro,Kilimanjaro,Stanbic Bank Tanzania,0966367403105,Pending,2024-01-24,False,,False,,True
VND-0081,Eastern Medical Services,Contractor,4012633-2016,263-525-656,John Mollel,+255 725 908 686,info@easternmedic.co.tz,Plot 57 Market Street Manyara,Manyara,NBC Bank,0469407835323,Passed,2023-09-09,False,,False,4.0,True
VND-0082,Savanna General Ltd,Supplier,5633125-2023,483-626-922,Grace Mwangi,+255 610 798 428,info@savannagener.co.tz,Plot 76 Market Street Arusha,Arusha,CRDB Bank,0198275526891,Passed,2023-05-15,False,,False,2.5,True
VND-0083,Northern Transport Supplies,Consultant,2433175-2015,357-671-172,Mary Mollel,+255 765 936 173,info@northerntran.co.tz,Plot 105 CBD Kilimanjaro,Kilimanjaro,Equity Bank Tanzania,0543431773117,Passed,2024-06-10,False,,False,2.8,True
VND-0084,Tanzania Trade Co,Consultant,8170490-2021,131-585-260,Mary Swai,+255 728 208 396,info@tanzaniatrad.co.tz,Plot 140 Industrial Area Manyara,Manyara,NMB Bank,0405810189914,Passed,2024-01-03,False,,False,4.1,True
VND-0085,Tanzania General Services,Supplier,7760761-2023,288-326-731,Mary Mwangi,+255 737 660 187,info@tanzaniagene.co.tz,Plot 47 Main Road Kilimanjaro,Kilimanjaro,Stanbic Bank Tanzania,0572775990662,Passed,2024-03-18,False,,True,4.2,True
VND-0086,Regional Agricultural Supplies,Consultant,6008810-2017,473-927-423,Mary Mwangi,+255 625 391 734,info@regionalagri.co.tz,Plot 81 Market Street Arusha,Arusha,Absa Bank Tanzania,0857771967546,Passed,2023-04-26,False,,False,3.4,True
VND-0087,Community Office Enterprises,Contractor,4218369-2016,119-969-619,David Lyimo,+255 644 761 721,info@communityoff.co.tz,Plot 149 CBD Arusha,Arusha,NMB Bank,0137678388366,Passed,2022-08-11,False,,False,5.0,True
VND-0088,Savanna Construction International,Contractor,3717875-2023,263-283-679,Amina Kimaro,+255 634 575 613,info@savannaconst.co.tz,Plot 189 CBD Manyara,Manyara,CRDB Bank,0324898461599,Passed,2023-08-19,False,,False,3.2,True
VND-0089,African Medical Supplies,Consultant,5314692-2023,485-769-487,Amina Mwangi,+255 611 140 764,info@africanmedic.co.tz,Plot 133 Industrial Area Arusha,Arusha,NMB Bank,0628525556461,Passed,2024-07-20,False,,False,3.4,True
VND-0090,Savanna Trade Ltd,Consultant,2938776-2018,438-837-216,Grace Swai,+255 731 758 387,info@savannatrade.co.tz,Plot 54 Market Street Arusha,Arusha,Equity Bank Tanzania,0122355506144,Passed,2022-06-07,False,,True,4.0,True
VND-0091,Eastern General Ltd,Consultant,5644187-2018,582-988-593,David Swai,+255 732 515 713,info@easterngener.co.tz,Plot 154 Market Street Kilimanjaro,Kilimanjaro,NMB Bank,0738791691623,Passed,2023-01-04,False,,False,4.3,True
VND-0092,Community Office Co,Supplier,3906587-2015,644-615-870,Grace Kimaro,+255 651 635 980,info@communityoff.co.tz,Plot 155 Main Road Arusha,Arusha,Absa Bank Tanzania,0764552457634,Passed,2022-02-03,False,,False,4.7,True
VND-0093,Highland Transport Enterprises,Contractor,9908518-2019,,Peter Mwangi,+255 625 535 237,info@highlandtran.co.tz,Plot 134 Main Road Manyara,Manyara,NMB Bank,0804943356423,Passed,2025-03-25,False,,False,2.8,True
VND-0094,Highland Trade Group,Contractor,8925359-2019,892-822-507,David Mwangi,+255 774 506 873,info@highlandtrad.co.tz,Plot 192 Market Street Manyara,Manyara,Absa Bank Tanzania,0265205149319,Passed,2023-07-19,False,,False,4.5,True
VND-0095,Tanzania Construction Associates,Consultant,7296510-2023,711-158-892,Amina Swai,+255 753 545 190,info@tanzaniacons.co.tz,Plot 113 Main Road Kilimanjaro,Kilimanjaro,Absa Bank Tanzania,0923643323392,Passed,2024-08-23,False,,True,4.5,True
VND-0096,African Trade Services,Consultant,9482115-2016,662-391-843,Peter Mollel,+255 640 188 382,info@africantrade.co.tz,Plot 89 Industrial Area Arusha,Arusha,NMB Bank,0565523579688,Passed,2022-01-01,False,,True,2.9,True
VND-0097,Northern General Co,Consultant,8923888-2018,894-569-797,Peter Mwangi,+255 665 997 650,info@northerngene.co.tz,Plot 124 Main Road Arusha,Arusha,Equity Bank Tanzania,0748926965325,Pending,2024-11-17,False,,False,,True
VND-0098,African Training Associates,Contractor,8807421-2020,687-375-287,Amina Kimaro,+255 673 195 508,info@africantrain.co.tz,Plot 128 Market Street Manyara,Manyara,NMB Bank,0993378297311,Passed,2023-05-24,False,,False,4.6,True
VND-0099,Community Construction Co,Supplier,6167604-2019,882-623-386,David Lyimo,+255 757 106 882,info@communitycon.co.tz,Plot 33 Main Road Manyara,Manyara,Equity Bank Tanzania,0589667036133,Pending,2024-10-05,False,,False,,True
VND-0100,Highland Construction Enterprises,Supplier,9987369-2018,727-451-474,Grace Kimaro,+255 772 315 488,info@highlandcons.co.tz,Plot 108 Industrial Area Arusha,Arusha,Equity Bank Tanzania,0386572623284,Passed,2022-01-25,False,,False,4.9,True
VND-0101,African Agricultural Group,Supplier,9470646-2020,407-356-675,John Swai,+255 721 925 109,info@africanagric.co.tz,Plot 26 Market Street Arusha,Arusha,NBC Bank,0587979725744,Passed,2022-11-03,False,,True,4.4,True
VND-0102,Regional Training International,Consultant,3859899-2019,789-622-599,Grace Mwangi,+255 689 988 795,info@regionaltrai.co.tz,Plot 98 Industrial Area Arusha,Arusha,NMB Bank,0989275715755,Passed,2022-09-06,False,,False,3.3,True
VND-0103,Highland Agricultural Co,Supplier,6950865-2023,523-271-288,Mary Kimaro,+255 781 373 719,info@highlandagri.co.tz,Plot 170 Industrial Area Kilimanjaro,Kilimanjaro,Absa Bank Tanzania,0867183953315,Passed,2023-08-20,False,,True,2.8,True
VND-0104,Northern Office Ltd,Supplier,5053855-2019,229-234-639,John Mwangi,+255 626 368 732,info@northernoffi.co.tz,Plot 170 Industrial Area Manyara,Manyara,NBC Bank,0984599284578,Passed,2022-06-20,False,,False,3.9,True
VND-0105,Regional General Enterprises,Supplier,2467552-2019,,Peter Kimaro,+255 711 636 755,info@regionalgene.co.tz,Plot 89 Industrial Area Manyara,Manyara,CRDB Bank,0804615827873,Passed,2025-03-01,False,,False,2.5,True
VND-0106,Highland Consulting Supplies,Supplier,5308181-2021,629-882-919,David Mollel,+255 711 504 355,info@highlandcons.co.tz,Plot 73 Industrial Area Kilimanjaro,Kilimanjaro,CRDB Bank,0286243260396,Passed,2025-02-22,False,,True,3.6,True
VND-0107,savanna consulting enterprises,Supplier,2477254-2015,450-530-419,Grace Mollel,+255 605 290 204,info@savannaconsu.co.tz,Plot 119 Main Road Kilimanjaro,Kilimanjaro,NMB Bank,0157379449894,Passed,2024-12-31,False,,False,3.9,True
VND-0108,Eastern Transport Group,Contractor,2539633-2018,797-419-430,Amina Mwangi,+255 698 889 553,info@easterntrans.co.tz,Plot 191 Main Road Kilimanjaro,Kilimanjaro,Absa Bank Tanzania,0405308376469,Failed,2023-05-25,True,Failed due diligence check,False,,False
VND-0109,African Agricultural Supplies,Consultant,8786804-2017,191-354-261,Amina Lyimo,+255 749 222 505,,Plot 87 Main Road Arusha,Arusha,Absa Bank Tanzania,0257835395649,Passed,2023-07-20,False,,False,2.8,True
VND-0110,African Training International,Contractor,9029294-2017,431-849-579,David Lyimo,+255 785 237 356,info@africantrain.co.tz,Plot 142 Market Street Kilimanjaro,Kilimanjaro,NMB Bank,0560410035939,Passed,2024-01-04,False,,False,3.4,True
