activity_id,project_id,activity_name,activity_code,activity_type,planned_start,planned_end,actual_start,actual_end,output_indicator,target_value,actual_value,completion_pct,status,responsible_staff_id
ACT-0011,PRJ-2023-003,Policy Dialogue Sessions,PRJ-2023-003/ACT-11,Advocacy,2024-12-03,2025-02-11,2024-11-30,2025-02-07,Number of advocacy activities completed,500,500,100.0,Completed,STF-011
ACT-0012,PRJ-2023-003,Data Quality Assessment,PRJ-2023-003/ACT-12,Monitoring and Evaluation,2023-10-11,2024-01-31,2023-10-15,,Number of monitoring and evaluation activities completed,200,58,29.1,In Progress,STF-028
ACT-0013,PRJ-2023-003,Stationery and Materials Procurement,PRJ-2023-003/ACT-13,Procurement,2023-11-13,2024-02-25,2023-11-15,2024-02-19,Number of procurement activities completed,2500,2500,100.0,Completed,STF-007
ACT-0014,PRJ-2023-003,Training of Community Health Workers,PRJ-2023-003/ACT-14,Training,2025-01-29,2025-03-14,2025-01-29,2025-03-29,Number of training activities completed,1000,1000,100.0,Completed,STF-024
ACT-0015,PRJ-2023-004,Stakeholder Engagement Meetings,PRJ-2023-004/ACT-15,Community Mobilisation,2024-10-23,2024-12-24,,,Number of community mobilisation activities completed,25,0,0.0,Cancelled,STF-026
ACT-0016,PRJ-2023-004,Scholarship Disbursement to Beneficiaries,PRJ-2023-004/ACT-16,Scholarship Disbursement,2025-03-29,2025-07-05,2025-04-08,,Number of scholarship disbursement activities completed,200,84,42.1,In Progress,STF-018
ACT-0017,PRJ-2023-004,Medical Supplies Procurement,PRJ-2023-004/ACT-17,Procurement,2024-08-07,2024-09-06,,,Number of procurement activities completed,200,0,0.0,Cancelled,STF-021
ACT-0018,PRJ-2023-005,Scholarship Disbursement to Beneficiaries,PRJ-2023-005/ACT-18,Scholarship Disbursement,2024-07-09,2024-10-28,2024-07-12,,Number of scholarship disbursement activities completed,50,15,29.9,In Progress,STF-022
ACT-0019,PRJ-2023-005,Financial Literacy Training,PRJ-2023-005/ACT-19,Training,2024-09-26,2024-10-26,2024-10-03,,Number of training activities completed,500,106,21.3,In Progress,STF-030
ACT-0020,PRJ-2023-005,Equipment Purchase and Distribution,PRJ-2023-005/ACT-20,Procurement,2022-11-01,2022-12-08,2022-11-14,2022-12-28,Number of procurement activities completed,30,30,100.0,Completed,STF-007
ACT-0021,PRJ-2023-006,Trade Fair Participation,PRJ-2023-006/ACT-21,Market Development,2024-10-29,2025-02-06,2024-11-09,2025-02-23,Number of market development activities completed,1000,1000,100.0,Completed,STF-011
ACT-0022,PRJ-2023-006,Financial Literacy Training,PRJ-2023-006/ACT-22,Training,2025-08-12,2025-12-08,2025-08-16,2025-12-10,Number of training activities completed,500,500,100.0,Completed,STF-019
ACT-0023,PRJ-2023-006,MFI Linkage Facilitation,PRJ-2023-006/ACT-23,Microfinance Linkage,2024-10-05,2024-11-19,2024-10-02,2024-11-19,Number of microfinance linkage activities completed,25,25,100.0,Completed,STF-023
ACT-0024,PRJ-2023-006,Media Engagement Activities,PRJ-2023-006/ACT-24,Advocacy,2024-02-21,2024-06-05,2024-02-18,2024-06-17,Number of advocacy activities completed,25,25,100.0,Completed,STF-012
ACT-0025,PRJ-2023-006,Community Sensitisation Campaign,PRJ-2023-006/ACT-25,Community Mobilisation,2023-08-02,2023-10-13,2023-08-04,2023-10-11,Number of community mobilisation activities completed,2500,2500,100.0,Completed,STF-011
ACT-0026,PRJ-2023-007,Village Level Awareness Sessions,PRJ-2023-007/ACT-26,Community Mobilisation,2021-09-10,2021-10-22,2021-09-15,,Number of community mobilisation activities completed,2500,1188,47.5,In Progress,STF-028
ACT-0027,PRJ-2023-007,Market Assessment Study,PRJ-2023-007/ACT-27,Market Development,2021-09-18,2021-10-25,2021-09-23,2021-11-09,Number of market development activities completed,30,30,100.0,Completed,STF-012
ACT-0028,PRJ-2023-007,Facilitator Training Workshop,PRJ-2023-007/ACT-28,Training,2022-03-25,2022-07-01,2022-04-02,2022-06-26,Number of training activities completed,200,200,100.0,Completed,STF-019
ACT-0029,PRJ-2023-007,Policy Dialogue Sessions,PRJ-2023-007/ACT-29,Advocacy,2021-08-02,2021-10-27,,,Number of advocacy activities completed,30,0,0.0,Planned,STF-006
ACT-0030,PRJ-2023-007,MFI Linkage Facilitation,PRJ-2023-007/ACT-30,Microfinance Linkage,2024-03-12,2024-04-12,,,Number of microfinance linkage activities completed,100,0,0.0,Cancelled,STF-010
ACT-0031,PRJ-2023-008,Medical Supplies Procurement,PRJ-2023-008/ACT-31,Procurement,2024-03-17,2024-06-03,2024-03-24,2024-06-01,Number of procurement activities completed,2500,2500,100.0,Completed,STF-014
ACT-0032,PRJ-2023-008,Data Quality Assessment,PRJ-2023-008/ACT-32,Monitoring and Evaluation,2025-04-22,2025-08-14,2025-04-24,,Number of monitoring and evaluation activities completed,100,32,32.3,In Progress,STF-006
ACT-0033,PRJ-2023-008,Reforestation Monitoring,PRJ-2023-008/ACT-33,Reforestation,2025-04-08,2025-05-15,2025-04-08,,Number of reforestation activities completed,2500,582,23.3,In Progress,STF-021
ACT-0034,PRJ-2023-008,Financial Literacy Training,PRJ-2023-008/ACT-34,Training,2024-03-10,2024-04-16,,,Number of training activities completed,30,0,0.0,Cancelled,STF-010
ACT-0035,PRJ-2023-009,Monitoring Visits and Data Collection,PRJ-2023-009/ACT-35,Monitoring and Evaluation,2025-02-17,2025-04-03,,,Number of monitoring and evaluation activities completed,100,0,0.0,Planned,STF-023
ACT-0036,PRJ-2023-009,Reforestation Monitoring,PRJ-2023-009/ACT-36,Reforestation,2024-02-10,2024-05-29,2024-02-23,2024-06-06,Number of reforestation activities completed,500,500,100.0,Completed,STF-013
ACT-0037,PRJ-2023-009,Village Level Awareness Sessions,PRJ-2023-009/ACT-37,Community Mobilisation,2024-11-17,2025-01-16,2024-11-16,2025-01-27,Number of community mobilisation activities completed,200,200,100.0,Completed,STF-019
ACT-0038,PRJ-2024-001,Seed Distribution Round 1,PRJ-2024-001/ACT-38,Input Distribution,2024-10-05,2025-01-07,2024-10-11,2025-01-25,Number of input distribution activities completed,30,30,100.0,Completed,STF-012
ACT-0039,PRJ-2024-001,Cooperative Management Training,PRJ-2024-001/ACT-39,Cooperative Formation,2024-12-17,2025-02-05,2024-12-29,2025-02-17,Number of cooperative formation activities completed,200,200,100.0,Completed,STF-024
ACT-0040,PRJ-2024-001,Financial Literacy Training,PRJ-2024-001/ACT-40,Training,2024-03-09,2024-07-02,,,Number of training activities completed,200,0,0.0,Planned,STF-026
ACT-0041,PRJ-2024-001,Baseline Survey Conduct,PRJ-2024-001/ACT-41,Monitoring and Evaluation,2024-07-16,2024-09-17,2024-07-14,2024-09-30,Number of monitoring and evaluation activities completed,50,50,100.0,Completed,STF-013
ACT-0042,PRJ-2024-002,Cooperative Registration Support,PRJ-2024-002/ACT-42,Cooperative Formation,2025-04-17,2025-08-06,,,Number of cooperative formation activities completed,2500,0,0.0,Planned,STF-013
ACT-0043,PRJ-2024-002,Training of Community Health Workers,PRJ-2024-002/ACT-43,Training,2024-06-17,2024-10-06,2024-06-20,2024-09-27,Number of training activities completed,25,25,100.0,Completed,STF-015
ACT-0044,PRJ-2024-002,Market Information System Setup,PRJ-2024-002/ACT-44,Market Linkage,2025-03-23,2025-05-25,2025-04-01,2025-06-01,Number of market linkage activities completed,1000,1000,100.0,Completed,STF-022
ACT-0045,PRJ-2024-002,Baseline Survey Conduct,PRJ-2024-002/ACT-45,Monitoring and Evaluation,2024-06-27,2024-08-05,,,Number of monitoring and evaluation activities completed,50,0,0.0,Planned,STF-022
ACT-0046,PRJ-2024-003,Child Case Identification,PRJ-2024-003/ACT-46,Case Management,2024-05-13,2024-07-21,2024-05-09,2024-08-08,Number of case management activities completed,500,500,100.0,Completed,STF-011
ACT-0047,PRJ-2024-003,Facilitator Training Workshop,PRJ-2024-003/ACT-47,Training,2024-07-15,2024-09-28,2024-07-21,,Number of training activities completed,50,42,83.3,In Progress,STF-012
ACT-0048,PRJ-2024-003,Policy Dialogue Sessions,PRJ-2024-003/ACT-48,Advocacy,2024-09-29,2024-12-20,2024-10-04,2025-01-04,Number of advocacy activities completed,1000,1000,100.0,Completed,STF-030
ACT-0049,PRJ-2024-004,Training of Community Health Workers,PRJ-2024-004/ACT-49,Training,2025-08-14,2025-11-12,2025-08-23,2025-11-13,Number of training activities completed,200,200,100.0,Completed,STF-030
ACT-0050,PRJ-2024-004,Child Case Identification,PRJ-2024-004/ACT-50,Case Management,2024-09-23,2024-10-26,2024-09-29,,Number of case management activities completed,30,12,41.3,In Progress,STF-029
ACT-0051,PRJ-2024-004,Community Dialogue Forums,PRJ-2024-004/ACT-51,Community Mobilisation,2024-11-27,2025-03-19,2024-12-07,,Number of community mobilisation activities completed,500,419,83.8,In Progress,STF-005
ACT-0052,PRJ-2024-004,Policy Dialogue Sessions,PRJ-2024-004/ACT-52,Advocacy,2025-08-24,2025-10-26,2025-08-27,2025-10-17,Number of advocacy activities completed,30,30,100.0,Completed,STF-024
ACT-0053,PRJ-2024-004,Data Quality Assessment,PRJ-2024-004/ACT-53,Monitoring and Evaluation,2024-11-24,2025-02-02,2024-12-05,2025-01-26,Number of monitoring and evaluation activities completed,1000,1000,100.0,Completed,STF-023
ACT-0054,PRJ-2023-010,Equipment Purchase and Distribution,PRJ-2023-010/ACT-54,Procurement,2023-05-02,2023-08-06,,,Number of procurement activities completed,100,0,0.0,Planned,STF-016
ACT-0055,PRJ-2023-010,Technical Skills Training,PRJ-2023-010/ACT-55,Training,2023-07-11,2023-11-03,,,Number of training activities completed,500,0,0.0,Planned,STF-026
ACT-0056,PRJ-2023-010,Policy Dialogue Sessions,PRJ-2023-010/ACT-56,Advocacy,2024-03-03,2024-06-05,2024-03-11,2024-06-05,Number of advocacy activities completed,1000,1000,100.0,Completed,STF-027
ACT-0057,PRJ-2024-005,Media Engagement Activities,PRJ-2024-005/ACT-57,Advocacy,2025-01-11,2025-05-07,2025-01-13,,Number of advocacy activities completed,200,120,60.0,In Progress,STF-017
ACT-0058,PRJ-2024-005,Community Sensitisation Campaign,PRJ-2024-005/ACT-58,Community Mobilisation,2024-12-03,2025-02-07,2024-12-16,2025-02-16,Number of community mobilisation activities completed,500,500,100.0,Completed,STF-019
ACT-0059,PRJ-2024-005,Technical Skills Training,PRJ-2024-005/ACT-59,Training,2025-02-12,2025-06-08,2025-02-22,2025-06-23,Number of training activities completed,50,50,100.0,Completed,STF-026
ACT-0060,PRJ-2024-005,Baseline Survey Conduct,PRJ-2024-005/ACT-60,Monitoring and Evaluation,2024-11-23,2025-02-26,2024-12-02,,Number of monitoring and evaluation activities completed,100,42,41.8,In Progress,STF-026
ACT-0061,PRJ-2023-011,Community Sensitisation Campaign,PRJ-2023-011/ACT-61,Community Mobilisation,2024-04-07,2024-07-06,2024-04-08,,Number of community mobilisation activities completed,100,50,49.6,In Progress,STF-027
ACT-0062,PRJ-2023-011,Media Engagement Activities,PRJ-2023-011/ACT-62,Advocacy,2024-08-28,2024-11-29,2024-08-27,2024-12-09,Number of advocacy activities completed,25,25,100.0,Completed,STF-029
ACT-0063,PRJ-2023-011,Training of Community Health Workers,PRJ-2023-011/ACT-63,Training,2024-10-09,2024-12-06,2024-10-20,2024-12-10,Number of training activities completed,25,25,100.0,Completed,STF-022
ACT-0064,PRJ-2023-011,Medical Supplies Procurement,PRJ-2023-011/ACT-64,Procurement,2023-12-03,2024-02-29,2023-12-12,2024-03-11,Number of procurement activities completed,500,500,100.0,Completed,STF-029
ACT-0065,PRJ-2024-006,Monitoring Visits and Data Collection,PRJ-2024-006/ACT-65,Monitoring and Evaluation,2025-05-02,2025-07-28,2025-05-04,2025-08-13,Number of monitoring and evaluation activities completed,200,200,100.0,Completed,STF-029
ACT-0066,PRJ-2024-006,Stationery and Materials Procurement,PRJ-2024-006/ACT-66,Procurement,2025-05-07,2025-08-25,2025-05-16,2025-08-17,Number of procurement activities completed,200,200,100.0,Completed,STF-012
ACT-0067,PRJ-2024-006,Community Dialogue Forums,PRJ-2024-006/ACT-67,Community Mobilisation,2025-02-19,2025-04-30,,,Number of community mobilisation activities completed,30,0,0.0,Planned,STF-009
ACT-0068,PRJ-2024-006,Facilitator Training Workshop,PRJ-2024-006/ACT-68,Training,2024-12-28,2025-03-17,2024-12-31,,Number of training activities completed,1000,242,24.2,In Progress,STF-015
ACT-0069,PRJ-2023-012,Stakeholder Engagement Meetings,PRJ-2023-012/ACT-69,Community Mobilisation,2025-07-28,2025-08-29,,,Number of community mobilisation activities completed,1000,0,0.0,Planned,STF-020
ACT-0070,PRJ-2023-012,Scholarship Disbursement to Beneficiaries,PRJ-2023-012/ACT-70,Scholarship Disbursement,2024-05-26,2024-08-02,2024-06-01,,Number of scholarship disbursement activities completed,100,55,55.0,In Progress,STF-020
ACT-0071,PRJ-2023-012,Facilitator Training Workshop,PRJ-2023-012/ACT-71,Training,2024-03-06,2024-05-30,2024-03-12,,Number of training activities completed,1000,418,41.8,In Progress,STF-028
ACT-0072,PRJ-2023-012,Medical Supplies Procurement,PRJ-2023-012/ACT-72,Procurement,2024-09-21,2024-11-06,,,Number of procurement activities completed,25,0,0.0,Cancelled,STF-017
ACT-0073,PRJ-2023-012,Health Facility Rehabilitation,PRJ-2023-012/ACT-73,Construction,2024-12-29,2025-04-22,2025-01-13,2025-04-25,Number of construction activities completed,50,50,100.0,Completed,STF-019
ACT-0074,PRJ-2024-007,Fertilizer Distribution,PRJ-2024-007/ACT-74,Input Distribution,2024-11-03,2025-01-30,2024-11-10,2025-01-28,Number of input distribution activities completed,1000,1000,100.0,Completed,STF-013
ACT-0075,PRJ-2024-007,Market Information System Setup,PRJ-2024-007/ACT-75,Market Linkage,2025-07-26,2025-08-27,2025-07-26,,Number of market linkage activities completed,500,425,85.0,In Progress,STF-012
ACT-0076,PRJ-2024-007,Training of Community Health Workers,PRJ-2024-007/ACT-76,Training,2024-05-12,2024-06-14,,,Number of training activities completed,100,0,0.0,Planned,STF-005
ACT-0077,PRJ-2023-013,Village Level Awareness Sessions,PRJ-2023-013/ACT-77,Community Mobilisation,2024-06-19,2024-10-16,2024-06-25,2024-10-11,Number of community mobilisation activities completed,30,30,100.0,Completed,STF-029
ACT-0078,PRJ-2023-013,Policy Dialogue Sessions,PRJ-2023-013/ACT-78,Advocacy,2024-01-13,2024-02-25,2024-01-17,,Number of advocacy activities completed,1000,574,57.4,In Progress,STF-017
ACT-0079,PRJ-2023-013,Facilitator Training Workshop,PRJ-2023-013/ACT-79,Training,2023-05-17,2023-08-30,2023-05-27,,Number of training activities completed,200,72,35.8,In Progress,STF-026
ACT-0080,PRJ-2023-013,Baseline Survey Conduct,PRJ-2023-013/ACT-80,Monitoring and Evaluation,2024-09-30,2024-11-04,2024-10-08,2024-11-15,Number of monitoring and evaluation activities completed,500,500,100.0,Completed,STF-007
ACT-0081,PRJ-2023-013,Stationery and Materials Procurement,PRJ-2023-013/ACT-81,Procurement,2024-12-23,2025-03-06,2024-12-31,2025-03-22,Number of procurement activities completed,2500,2500,100.0,Completed,STF-008
